Date,Adj Close,Open,High,Low,Change %
1-Jan-20,1.1212,1.1214,1.1224,1.1206,0.00%
2-Jan-20,1.1172,1.1212,1.1227,1.1164,-0.36%
3-Jan-20,1.116,1.1172,1.1182,1.1125,-0.11%
6-Jan-20,1.1195,1.1168,1.1208,1.1155,0.31%
7-Jan-20,1.1153,1.1198,1.1199,1.1133,-0.38%
8-Jan-20,1.1105,1.1154,1.117,1.1102,-0.43%
9-Jan-20,1.1106,1.1105,1.1121,1.1092,0.01%
10-Jan-20,1.1122,1.1106,1.1131,1.1085,0.14%
13-Jan-20,1.1135,1.1125,1.1148,1.1113,0.12%
14-Jan-20,1.1128,1.1135,1.1145,1.1103,-0.06%
15-Jan-20,1.1151,1.113,1.1165,1.1119,0.21%
16-Jan-20,1.1137,1.1151,1.1174,1.1128,-0.13%
17-Jan-20,1.109,1.1137,1.1144,1.1086,-0.42%
20-Jan-20,1.1095,1.1091,1.1103,1.1076,0.05%
21-Jan-20,1.1084,1.1096,1.112,1.1081,-0.10%
22-Jan-20,1.1093,1.1084,1.11,1.107,0.08%
23-Jan-20,1.1054,1.1093,1.111,1.1037,-0.35%
24-Jan-20,1.1025,1.1055,1.1063,1.102,-0.26%
27-Jan-20,1.1018,1.1021,1.1039,1.101,-0.06%
28-Jan-20,1.1022,1.102,1.1027,1.0998,0.04%
29-Jan-20,1.1011,1.1023,1.1029,1.0992,-0.10%
30-Jan-20,1.1032,1.101,1.104,1.1006,0.19%
31-Jan-20,1.1094,1.1032,1.1097,1.1016,0.56%
3-Feb-20,1.106,1.1093,1.1097,1.1036,-0.31%
4-Feb-20,1.1044,1.106,1.1066,1.1033,-0.14%
5-Feb-20,1.0999,1.1046,1.1049,1.0994,-0.41%
6-Feb-20,1.098,1.0999,1.1014,1.0963,-0.17%
7-Feb-20,1.0945,1.0983,1.0987,1.0942,-0.32%
10-Feb-20,1.0911,1.0951,1.0959,1.0908,-0.31%
11-Feb-20,1.0916,1.0912,1.0926,1.0891,0.05%
12-Feb-20,1.0873,1.0916,1.0927,1.0865,-0.39%
13-Feb-20,1.0841,1.0874,1.089,1.0834,-0.29%
14-Feb-20,1.0832,1.0841,1.0863,1.0828,-0.08%
17-Feb-20,1.0836,1.0832,1.0852,1.0821,0.04%
18-Feb-20,1.0792,1.0837,1.0838,1.0785,-0.41%
19-Feb-20,1.0806,1.0792,1.0813,1.0782,0.13%
20-Feb-20,1.0785,1.0806,1.0822,1.0777,-0.19%
21-Feb-20,1.0845,1.0785,1.0865,1.0784,0.56%
24-Feb-20,1.0854,1.0841,1.0873,1.0805,0.08%
25-Feb-20,1.0881,1.0854,1.0892,1.083,0.25%
26-Feb-20,1.0881,1.0881,1.091,1.0855,0.00%
27-Feb-20,1.1,1.0882,1.1007,1.0879,1.09%
28-Feb-20,1.1026,1.1,1.1055,1.0951,0.24%
2-Mar-20,1.1134,1.1003,1.1187,1.1003,0.98%
3-Mar-20,1.1173,1.1133,1.1214,1.1095,0.35%
4-Mar-20,1.1136,1.1172,1.1188,1.1095,-0.33%
5-Mar-20,1.1241,1.1136,1.1246,1.112,0.94%
6-Mar-20,1.1286,1.1237,1.1355,1.1211,0.40%
9-Mar-20,1.1449,1.1293,1.1494,1.1284,1.44%
10-Mar-20,1.128,1.1446,1.1459,1.1274,-1.48%
11-Mar-20,1.1269,1.1281,1.1368,1.1258,-0.10%
12-Mar-20,1.1183,1.126,1.1333,1.1056,-0.76%
13-Mar-20,1.1206,1.1183,1.1218,1.1152,0.20%
